DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
ARCELORMITTAL INOX BRASIL S.A.,AM INOX BR,ACES,33.390.170/0001-89,1/9/1969,29/04/2008,"Av. João Pinheiro, 580 ; CEP:30130-180; BELO HORIZONTE - MG; Tel.:(31)3235-4268","Cancelou registro de Cia Aberta. O acionista controlador ArcelorMittal, realizou OPA na BOVESPA em 04/04/2008 ao preço de R$ 95,25 /ação ON e R$ 94,70 /ação PN. Esse valor corresponde ao preço de R$ 100,00 /ação, após deduções dos juros sobre o capital próprio, declarados em 19/12/2007, pelos dividendos intermediários declarados em 14/03/2008 e o ajuste pela TR acrescido de 6% ao ano, a partir de 28/02/2008, até a data do leilão."
ARGENTUM PARTICIPAÇÕES S.A.,ARGENTUM,ARGM,02.036.200/0001-09,4/28/1998,6/20/2000,"Av. Rio Branco,138 - 8ºandar / Parte
; CEP: 20057 - 900
; Rio de Janeiro - RJ
; Tel.: (21)508-4465",Cancelou registro de Cia Aberta . Não estava admitida à cotação na BOVESPA.
ARNO S.A.,ARNO,ARNO,61.064.978/0001-01,12/3/1946,5/18/2000,"Av. Arno,146
; CEP: 03108 - 900
; São Paulo - SP             
; Tel.: (11)6915-4322","Cancelou registro de Cia Aberta . O acionista controlador, Seb Internationale S.A. realizou OPA na BOVESPA em 11/04/2000 ao preço de R$ 435,11 /ação."
ARTERIS S.A.,ARTERIS ,ARTR,02.919.555/0001-67,7/5/2005,3/8/2017,"Avenida Presidente Juscelino Kubitschek, 1455 - 9º andar; CEP: 04543-011; São Paulo-SP; Tel.: (11) 3074-2405",A companhia requereu o cancelamento na BM&FBOVESPA em 01/03/2017. Desde 17/06/2016 as ações de emissão da companhia deixaram de ser negociadas na BM&FBOVESPA tendo em vista a conversão da categoria A para B
ARTHUR LANGE S.A. INDÚSTRIA E COMÉRCIO ,ARTHUR LANGE,ARLA,92.189.356/0001-33,9/8/1971,1/5/2011,"Rod. BR 116 - KM 481,  ; CEP:96148-000; Pelotas - RS; Tel.:(53)3284-2524",Falta de atualização do registro perante a BMFBOVESPA.
ATMOSFERA GESTÃO DE HIGIENIZAÇÃO DE TÊXTEIS S.A.,ATMOSFERA,ATMO,00.886.257/0001-92,4/3/2007,24/04/2009,"Rua Pedro Celestino Leite Penteado, 415 ; CEP:07760-000; Cajamar - SP; Tel.:(11)4588-5000",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BM&FBOVESPA.
AUSTRAL INVESTIMENTOS S.A.,AUSTRAL,AUST,00.160.436/0001-48,12/2/1994,10/8/1999,"Av. Rio Branco,131 Sala 801 / Parte
; CEP: 20031 - 000
; Rio de Janeiro - RJ   
; Tel.:  (21)514-9600 
",Mudou registro para Balcão Organizado.
AUTEL S.A. TELECOMUNICAÇÕES,AUTEL,ATEL,47.709.365/0001-53,5/30/1994,10/28/2003,"Rua Municipal,30
; CEP: 09710 - 210
;São Bernardo do Campo - SP
; Tel.: (11) 5631-3888",Falta de atualização do registro perante a BOVESPA.
AUTOMETAL S.A.,AUTOMETAL ,AUTM,59.104.513/0001-95,2/3/2011,10/17/2014,"Avenida Fagundes de Oliveira, 1650; CEP: 09950-905; Diadema-SP; Tel.: (11) 4070-8200","Cancelou registro de cia aberta. A acionista controladora CIE Autometal S.A, realizou OPA na BMFBOVESPA em 18/09/2014 ao preço de R$ 19,49 /ação. "
BAESA - Energética Barra Grande S.A.,BAESA ,BESA ,04.781.143/0001-39,9/29/2004,5/17/2016,"Avenida Linha São Jorge,1168; CEP: 95390-000; Pinhal da Serra-RS; Tel.: (48) 3331-0000)",Cancelou registro de Cia aberta.
BAHEMA EQUIPAMENTOS S.A.,BAHEMA EQUIP,BHEQ,96.832.365/0001-51,2/10/1999,11/14/2003,"Km 0 da Rod. Br 324,S/N
; CEP: 40330 - 730
; Salvador - BA
; Tel.: (71)255-7553","Cancelou registro de Cia Aberta . O acionista controlador, Marcosa S.A. Máquinas e Equipamentos realizou OPA na BOVESPA no dia 24/10/2003 ao preço de R$ 42,90 /mil ações ON e R$ 21,10 /mil ações PN."
BANCO AMÉRICA DO SUL S.A.,AMERICA SUL,BASU,61.230.165/0001-44 ,12/14/1949,9/11/2000,"Av. Brigadeiro Luíz    Antônio,2020
; CEP: 01318 - 911
; São Paulo - SP 
; Tel.: (11)281-1675","Cancelou registro de Cia Aberta . O acionista controlador, Sudameris D.T.V.M. S.A. realizou OPA na BOVESPA em 04/08/2000 ao preço de R$ 9,01 /mil ações ON, PNB e PNA, ex-dividendo (Basu11). Para as ações PNA com direito a dividendos (BASU5), foi acrescido o valor de R$ 5,31 /mil ações totalizando R$ 14,32 /mil ações."
BANCO BANDEIRANTES DE INV. S.A.,BANDEIR INV ,BIVT,63.090.609/0001-19,6/9/1971,12/19/2002,"Av. Brigadeiro Faria Lima,2179 - 
8ºandar
; CEP: 01452 - 000 
; São Paulo - SP 
; Tel.: (11)3789-7737","Incorporado pelo Unibanco Holdings S.A. e pelo Unibanco - União de Bancos Brasileiros S.A.  Cada lote de mil ações foram substituídos por 9.103,896 Units."
BANCO BANDEIRANTES S.A.,BANDEIRANTES,BBCM,61.071.387/0001-61,4/4/1962,12/9/2002,"Rua Boa Vista,162 - 
7ºandar
; CEP: 01014 - 902
; São Paulo - SP 
; Tel.: (11)3789-7737","Incorporado pelo Unibanco-União de Bancos Brasileiros S.A.  Cada lote de 9.115,2923 ações foram substituídas por mil ações do Unibanco, sendo 607,77357 ON e 392,22643 PN."
BANCO BANEB S.A.,BANEB,BEBA,15.142.490/0001-38,3/10/1971,12/7/2000,"Av. Estados Unidos,26 - 3ºandar 
; CEP: 40010 - 020
; Salvador - BA
; Tel.: (71)254-4160","Cancelou registro de Cia Aberta . O acionista controlador, Banco Bradesco S.A. realizou OPA na BOVESPA em 06/11/2000 ao preço de R$ 10,37 /mil ações."
BANCO BANESTADO S.A.,BANESTADO,BEPA,76.492.172/0001-91,16/09/1969,9/8/2003,"Rua Monsenhor,151    
11ºandar; 
CEP:80010-150; 
Curitiba - PR;  
TEL.:(11)5019-1677","Cancelou registro de Cia Aberta. O acionista controlador, Banco Itaú S.A. realizou OPA na BOVESPA em  25/08/2003 ao preço de  R$ 0,98 /ação."
BANCO BARCLAYS E GALÍCIA S.A.,BARCLAYS GAL,IBNB,61.146.577/0001-09,12/20/1972,8/29/2001,"Av. Paulista,1842 - Torre Norte - 24º/25ºandares
; CEP: 1310 - 923
; São Paulo - SP 
; Tel.: (11)269-2700","Cancelou registro de Cia Aberta . O acionista controlador, Barclays Bank PLC realizou OPA na BOVESPA em 01/08/2001 ao preço de R$ 5,77 /ação."
BANCO BEA S.A.,BANCO BEA,BAAM,04.562.120/0001-33,1/12/1973,2/10/2003,"Rua Silva Ramos,368
; CEP: 69025 - 030
;Manaus - AM
; Tel.: (92)621-2107","Cancelou registro de Cia Aberta . O acionista controlador, Banco Bradesco S.A. realizou OPA na BOVESPA em 24/01/2003 ao preço de R$ 17,42 /mil ações. "
BANCO BEC S.A. ,BANCO BEC,BECE,07.196.934/0001-90,30/03/1973,6/7/2006,"Rua Pedro Pereira, 481 ; CEP:60035-902; Fortaleza - CE; Tel.:(85)3255-1886","Cancelou registro de Cia Aberta. O acionista controlador, Banco Bradesco S.A. realizou OPA na BOVESPA em 22/05/2006, ao preço de R$ 8,49 /ação. Acrescido da variação SELIC pró rata-temporis, desde 21/12/2005 até a data da efetiva liquidação da referida oferta. "
BANCO BEG S.A.,BEG,BGOS,01.540.541/0001-75,7/8/1974,9/8/2003,"Pça. do Bandeirante,546 - 
3ºandar / Sala 303
; CEP: 74010- 020
; Goiana - GO 
; Tel.: (62)227-2212","Cancelou registro de Cia Aberta. O acionista controlador, Banco Itaú S.A. realizou OPA na BOVESPA em 25/08/2003 ao preço de R$ 168,34/mil ações. "
BANCO BEMGE S.A.,BEMGE,BEMG,17.298.092/0001-30 ,26/11/1980,9/8/2003,"Rua Albita,131 - 1° susbsolo / Térreo
; CEP: 30310-160
; Belo Horizonte - MG; Tel.: (31)270-1255","Cancelou registro de Cia Aberta . O acionista controlador, Banco Itaú S.A. realizou OPA na BOVESPA em 25/08/2003 ao preço de R$ 1,01 /mil ações."
BANCO BILBAO VIZCAYA ARGENTARIA BR S.A.,BILBAO VIZC,BEXC,33.870.163/0001-84,5/2/1996,11/3/2003,"Av. Antônio Carlos Magalhães,2728
; CEP: 41480 - 000
; Salvador - BA
; Tel.: (71)354-7000","Incorporado pelo Banco Bradesco S.A.  Cada ação foi substituída por 44,422475667 ações do Bradesco S.A., sendo 22,379315072 ações ON e 22,043160595 ações PN."
BANCO BOAVISTA INTERATLÂNTICO S.A.,BOAVISTA,BBVT,33.485.541/0001-06,8/13/1963,12/13/1999,"Pça. Pio X,118 A  - 12ºandar
; CEP: 20091-040
; Rio de Janeiro - RJ
; Tel.:  (21)849-1711","Cancelou registro de Cia Aberta. O acionista controlador, Interatlântico S.A. realizou OPA na BVRJ em 16/11/1999 ao preço de R$ 3,84 /ação."
BANCO CREFISUL S.A.,CREFISUL ,BAQU,52.940.350/0001-31 ,12/9/1952,4/6/1999,"Av. Brigadeiro Faria Lima,1384
; CEP: 01451-001
; São Paulo - SP
; Tel.:  (11)3039-9000",Liquidação extrajudicial decretada em 23/03/1999 pelo Banco Central.
BANCO CRUZEIRO DO SUL S.A.,CRUZEIRO SUL,CZRS,62.136.254/0001-99,6/13/2007,9/28/2012,"Rua Funchal, 418  8º andar; CEP: 04551-060; São Paulo-SP; Tel.: (11) 3848-2704",Liquidação extrajudicial decretada em 14/09/2012 pelo Banco Central.
BANCO DE PERNAMBUCO S.A. - BANDEPE,BANDEPE,BDEP,10.866.788/0001-77,10/25/1983,3/31/2003,"Cais do Apolo,222 - 15°andar
; CEP: 50038 - 000
; Recife - PE 
; Tel.: (81)3425-6705","Cancelou registro de Cia Aberta . O acionista controlador, Banco ABN AMRO Real S.A. realizou OPA na BOVESPA em 17/03/2003 ao preço de R$ 1,00 /mil ações."
BANCO DESENV. EST.BAHIA S.A.,DESENBANCO,BDBA,15.163.587/0001-27,7/13/1981,11/11/1999,"Av. Tancredo Neves,776
; CEP: 41823-900
; Salvador - BA
; Tel.:  (71)340-2211","Cancelou registro de Cia Aberta. O acionista controlador, Governo do Estado da Bahia realizou OPA na BOVESPA em 11/10/1999 ao preço de R$ 3,73 /mil ações."
BANCO DO ESTADO DO PIAUI S.A.,EST PIAUI,BPIA,06.833.131/0001-36,22/10/1997,30/11/2009,"Rua 13 de Maio , 307 - Norte; CEP:64000-150; Teresina - PI; Tel.:(86)3221-5969","Incorporado pelo Banco do Brasil S.A., sendo atribuída uma ação ordinária de emissão do Banco do Brasil S.A. para cada lote de 4,60241693 ações ordinárias de emissão do Banco do Estado do Piauí S.A. "
BANCO ITAÚ S.A. ,BANCO ITAU,ITAU,60.701.190/0001-04,10/20/1944,9/29/2003,"Pça. Alfredo Egydio de Souza Aranha,100
; CEP: 04344 - 901
; São Paulo - SP
; Tel.: (11)5019-1122","Incorporado pelo Banco Itaú Holding Financeira S.A.  Cada ação foi substituída por uma ação do Banco Itaú Holding Financeira S.A., observada a espécie."
BANCO MERCANTIL DE SÃO PAULO S.A.,MERC S PAULO,BMCT,61.065.421/0001-95,3/10/1939,10/6/2003,"Cidade de Deus,S/N
; CEP: 06029 - 900
; Osasco - SP 
; Tel.: (11)3681-4011 ","Incorporado pelo Banco Bradesco S.A.  Cada ação foi substituída por 23,94439086 ações do Banco Bradesco S.A., sendo 12,06279162 ações ON e 11,88159924 ações PN."
BANCO NOSSA CAIXA S.A.,NOSSA CAIXA,BNCA,43.073.394/0001-10,14/10/2005,19/04/2010,"Rua XV de Novembro, 111  - 10º andar; CEP:01013-001; São Paulo - SP; Tel.:(11)3244-6119",Incorporado pelo Banco do Brasil S.A. Cada ação ON foi substituída por 2.28873181 ações ON do Banco do Brasil S.A.
BANCO REAL S.A. ,REAL,REAL,17.156.514/0001-33,12/13/1972,4/19/2000,"Av. Paulista,1374 - 3ºandar
; CEP: 01310 - 916
; São Paulo - SP
; Tel.: (11)3174-9876","Incorporado pela ABN AMRO S.A.  Cada lote de 128 ações foram substituídas por 100 ações ON do ABN AMRO, independente do tipo e espécie."
BANCO SANTANDER NOROESTE  S.A.,SANTANDERNOR,BNET,60.700.556/0001-12,7/31/1946,11/5/1999,"Rua Amador Bueno,474 - 3ºandar / Bl. C
; CEP: 04752-000
; São Paulo - SP
; Tel.:  (11)538-7202","Incorporado pelo Banco Santander Brasil S.A. Cada ação foi substituída por 2,16114 ações do Banco Santander Brasil S.A.,sendo que as ações ON receberam no tipo, e as ações PN receberão 0,01951 ações ON e 2,14163 ações PN."
BANCO SUDAMERIS BRASIL S.A. ,SUDAMERIS,BFIT,60.942.638/0001-73,11/1/1950,29/05/2007,"Rua XV de Novembro , 213 - 1º andar; CEP:01013-001; São Paulo - SP; Tel.:(11)3243-5628",Incorporado pelo Banco ABN AMRO Real S.A. Cada 1.000 ações foram substituídas por 78 novas ações ordinárias do Banco ABN AMRO Real.
"BANEX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",BANEX S/A,LOSA,33.550.104/0001-29,14/11/1974,19/11/2007,"Av. Brigadeiro Faria Lima, 1461 - 8º andar; CEP:01451-001; São Paulo - SP; Tel.:(11)3816-8917","Cancelou registro de Cia Aberta. A acionista controladora Banex do Brasil Empreendimentos e Participações Ltda.,realizou OPA por meio da adoção de procedimento diferenciado em 14/08/2007 ao preço de R$ 7,71 /ação a ser atualizado pela TR calculada pró rata-temporis até a data do efetivo pagamento."
BANRISUL CARTÕES S.A.,VEROBANRISUL,VERB,92.934.215/0001-06,9/27/2018,11/28/2018,"Rua Siqueira Campos, 832 - 4º andar; CEP: 90010-000; Porto Alegre-RS; Tel.: (51) 3215-2008",Companhia solicitou à B3 o cancelamento de sua listagem.
BAPTISTA DA SILVA PART.E PROJETOS S.A.,BAPTISTA SIL,BTSP,10.809.341/0001-66,1/7/1985,11/1/2006,"Rua José Bonifácio,944
; CEP: 50710-900
; Recife - PE
; Tel.:  (81)412-8617",Falta de atualização do registro perante a BOVESPA. 
